Make,Model,Year,Vehicle_Type,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Temperature_C
Mercedes,EQS,2020,SUV,59.5,73.6,343,152.9,0.45,266,20.43,129049,36.1,17.9
Ford,Mustang Mach-E,2023,Hatchback,60.4,97,314,69.4,1.06,1964,24.14,121148,37.1,14.4
Kia,Niro EV,2022,Sedan,110.7,72.4,558,109.1,1.07,1446,23.66,46427,97.9,38.8
Mercedes,EQC,2023,SUV,94.7,86.1,469,211.4,0.6,1633,16.21,96922,44,-4.3
BMW,i4,2019,SUV,75.5,98,350,152.9,0.62,209,19.13,145937,99.3,-5.6
BMW,i4,2023,Sedan,83.6,84.1,403,94.4,0.95,517,21.7,47929,38.7,0.3
Kia,EV6,2020,Truck,34.3,93.4,193,190.4,0.2,1514,14.14,155354,76.6,5.8
Audi,e-tron,2022,Truck,69.5,81.3,342,83,0.94,342,19.51,72728,93,-6.7
Ford,Mustang Mach-E,2020,Hatchback,114.6,88.8,535,44.3,2.88,1892,18.44,30053,92.6,27.6
Nissan,Ariya,2015,Sedan,33,87.1,182,220.5,0.19,1005,18.97,165558,89.3,15.1
BMW,iX,2018,SUV,95,91.6,501,176.9,0.64,1506,16.49,82834,97.1,10
Audi,Q4 e-tron,2024,Sedan,82.8,85.2,432,15.3,5.89,1683,13.33,216951,78.8,22.6
BMW,iX,2023,Truck,68.2,92.1,400,232.2,0.36,1013,15.07,237793,88.7,6.6
BMW,i4,2019,Sedan,64.1,92.3,282,199.3,0.38,774,17.39,236001,94.4,14
Tesla,Model X,2017,SUV,52.3,87.3,226,19.1,3.52,484,19.55,9757,45.4,-1.1
Ford,F-150 Lightning,2020,SUV,107.5,86.1,469,82.6,1.67,1189,21.75,29442,86,-0.5
Volkswagen,ID.3,2022,Truck,82.9,78.8,449,137.1,0.73,1336,17.21,43565,83.6,33.1
Hyundai,Ioniq 5,2017,Sedan,88,82.3,356,48.3,2.07,1572,17.3,115904,45.5,15.3
Chevrolet,Bolt EV,2019,Hatchback,46.1,89.6,206,34.8,1.74,1301,19.84,118453,88.1,-2.9
Hyundai,Kona Electric,2016,SUV,31.2,72.6,137,17.3,2.42,1771,20.36,123865,92.5,6.8
Kia,EV6,2021,Truck,54.1,88.7,260,142.9,0.47,1139,14.85,245469,84.6,14.4
Volkswagen,ID.4,2016,Sedan,32,78.1,162,162.4,0.26,1981,20.39,56693,98.9,24.6
Mercedes,EQS,2019,Sedan,103.4,84.9,427,107.9,1.16,787,14.68,45809,39.8,33.7
Ford,F-150 Lightning,2023,Sedan,74.5,87.2,422,107.6,0.78,1781,12.61,106371,97.1,20.2
Hyundai,Ioniq 5,2022,Hatchback,69.3,97.5,377,156.9,0.47,254,20.63,9853,39.5,-8.4
Audi,e-tron,2015,Hatchback,74.7,87.9,348,195.2,0.53,912,16.57,59912,64.7,13
Ford,F-150 Lightning,2017,Truck,54.5,87.7,257,32.9,1.78,1156,22.27,41408,61.2,37.9
Volkswagen,ID.4,2015,Truck,89.3,90.8,508,70.7,1.54,1878,21.01,95600,96.1,19.4
Hyundai,Ioniq 5,2020,SUV,112.4,71,606,82.1,1.47,1721,17.48,235876,63.2,12.8
Kia,Niro EV,2022,Truck,50.7,73.6,210,177.4,0.36,382,17.26,177070,52.1,23.1
Volkswagen,ID.4,2024,Hatchback,108.9,82.5,536,247.7,0.63,1364,16.99,149991,85.9,-7.4
Hyundai,Ioniq 5,2023,Sedan,82.3,78.2,394,32.9,3.19,539,21.59,37733,30.2,4.4
Mercedes,EQS,2023,SUV,55,97.3,224,37.2,1.85,1163,14.84,48001,85.9,10.9
Hyundai,Kona Electric,2016,Sedan,45,99.7,200,236.3,0.22,1084,22.8,170229,46.1,-8.2
Chevrolet,Bolt EV,2019,Hatchback,35.2,99.1,203,232.7,0.16,1796,15.38,220458,83.1,34.9
Hyundai,Ioniq 5,2023,Hatchback,83.4,87.4,348,220.7,0.49,1187,18.2,22602,96.9,6.5
Tesla,Model S,2016,SUV,66.8,81.2,301,183.9,0.44,653,24.51,145975,77.8,-6.9
Audi,Q4 e-tron,2017,SUV,104.2,80.4,558,146.2,0.93,1485,18.78,24623,47.2,25.4
BMW,i4,2024,Hatchback,39.5,91,172,221.7,0.19,960,12.38,52638,30.4,27.2
Audi,Q4 e-tron,2021,SUV,47.4,72.5,220,144.8,0.45,1065,20.24,36575,87.3,28.1
Chevrolet,Bolt EUV,2019,Truck,39.2,98.1,210,27.2,1.86,1240,22.02,68888,70.8,-6.3
Hyundai,Ioniq 5,2018,Sedan,88.3,87.8,420,26.7,3.65,1078,18.35,98106,47.7,3.7
Hyundai,Ioniq 5,2023,Truck,44.7,93.8,240,63.8,0.97,1173,14.99,213330,49.1,-8.4
BMW,i3,2019,Hatchback,87.5,81.9,397,246.2,0.44,1133,14.99,138052,44,8.4
Hyundai,Kona Electric,2022,Hatchback,44.3,76.1,185,47.7,1.14,1785,21.89,197860,39.2,38.4
Chevrolet,Bolt EUV,2021,SUV,41.3,90.6,200,58.9,0.85,925,19.57,54268,71.3,12.8
Mercedes,EQC,2016,Hatchback,73.2,88,335,177.1,0.45,301,23.8,186002,63.6,-4.9
Kia,Niro EV,2020,SUV,85.6,91.1,438,13.3,8.23,201,18.95,117360,54.5,7.9
Kia,Niro EV,2024,Sedan,92.1,94,405,51,2.49,516,21.18,137997,71.6,17.1
Volkswagen,ID.3,2016,SUV,86.3,93.5,450,126.8,0.79,407,19.12,164033,84.9,-1.8
Tesla,Model Y,2021,Sedan,88.5,84.4,462,89.6,1.21,884,14.37,115198,60.4,17.8
BMW,i4,2022,Sedan,117.7,89.5,517,173.6,0.94,1430,15.35,166099,42.2,27.1
Ford,Mustang Mach-E,2018,Truck,75.4,86.3,379,151.5,0.7,1065,18.33,48585,71.8,3.8
Kia,Niro EV,2017,Sedan,86.1,88.9,470,42.4,2.31,951,19.82,147633,46.6,10.7
Audi,e-tron,2022,SUV,82.1,89.9,344,166.9,0.63,227,15.36,244614,71.2,38.5
Tesla,Model S,2017,SUV,69.8,79.9,341,171,0.55,332,15.23,84530,96.4,-1.6
BMW,i3,2019,Hatchback,78,93.5,422,117.7,0.72,819,19.02,39707,48.9,1.6
Mercedes,EQC,2017,Truck,70.7,98,327,132.2,0.75,689,17.17,171129,97.6,6.2
Mercedes,EQC,2016,Truck,60.8,86,258,42.7,1.93,945,21.53,126863,97.9,-2.2
Tesla,Model X,2016,Hatchback,89.5,99.4,424,15.2,7.74,1761,23.3,233071,83.8,24.5
Nissan,Leaf,2019,Truck,90,87.3,422,49.1,2.15,774,24.7,209456,99.5,18.4
Nissan,Leaf,2020,Hatchback,59.4,90,333,193.2,0.34,1050,23.3,8712,38.4,6.4
Nissan,Ariya,2019,Hatchback,64.2,86.5,333,141.4,0.56,301,12.95,241386,41.8,13.2
Volkswagen,ID.4,2016,SUV,73.1,70.8,342,101.9,0.9,1516,15.2,51819,72.6,27.3
Audi,Q4 e-tron,2019,Hatchback,47.6,70.2,252,225.6,0.28,914,16.94,50379,95.4,-1.7
Mercedes,EQS,2017,SUV,82.3,72.7,447,106.6,0.82,289,13.58,235662,77.7,-0.8
Chevrolet,Bolt EV,2024,Hatchback,112.6,82.7,470,206,0.69,1908,20.23,212738,30.2,34.2
Chevrolet,Bolt EUV,2022,Hatchback,67,95.2,388,95.5,0.92,1516,15.93,110111,87.6,30.5
Kia,Niro EV,2021,Truck,82.8,75,453,217.2,0.51,861,12.31,21014,46.1,1.6
Audi,e-tron,2023,SUV,118.9,74.1,640,107.6,1.37,1390,21.42,60754,99.4,20.2
Chevrolet,Bolt EV,2018,Hatchback,37.7,96.8,165,88.3,0.56,624,20.02,121492,66.3,-6.5
Nissan,Ariya,2022,Hatchback,88.6,86,411,90.6,1.13,926,16.92,130541,69,6.7
Kia,Niro EV,2019,Truck,45.8,90.7,201,139.1,0.45,832,22.68,73619,54.3,13.7
Ford,F-150 Lightning,2017,Truck,43.7,99.8,255,140,0.34,348,13.21,126237,36.2,20.4
Hyundai,Kona Electric,2018,Truck,57.3,77.9,270,31.9,1.92,1168,18.63,132810,57.8,33.7
BMW,i3,2020,Hatchback,81,81.7,405,105.9,0.92,1652,16.95,196703,67.3,29.5
Mercedes,EQS,2019,SUV,32.1,74.6,142,239.8,0.16,465,22.69,79520,63.6,14.4
Ford,Mustang Mach-E,2018,Sedan,75.2,82,322,98.8,1.06,1193,18.58,36822,97.4,-3.9
BMW,i4,2018,Sedan,69.6,73.2,367,62.6,1.3,1283,16.74,208038,34.3,0.6
BMW,iX,2022,Sedan,56.8,82.9,246,28.8,2.2,1717,13.31,102359,78.4,39.8
Kia,Niro EV,2018,Hatchback,45.6,89.7,259,184.1,0.28,1926,17.85,187268,54.8,31.4
Tesla,Model X,2021,Sedan,67.5,84.4,272,73.1,1.04,1646,20.05,65428,30.8,-0.1
Chevrolet,Bolt EV,2017,SUV,53.9,89.4,269,74.6,0.98,709,13.95,133563,47,8.8
Kia,EV6,2019,Sedan,116.1,74,488,168.4,0.74,1353,17.69,142244,49.6,35.1
Mercedes,EQC,2016,Hatchback,64.8,83.5,288,223.6,0.36,1396,13.95,35111,99.2,-7.9
Mercedes,EQS,2017,Sedan,36.4,70.4,215,187.3,0.25,565,24.89,206139,84.2,7.7
Hyundai,Kona Electric,2020,Sedan,98.8,78,399,30.6,3.43,1446,22.17,132896,98.3,-3.9
BMW,iX,2023,SUV,116.4,84.3,674,88,1.81,1711,13.48,235156,70.8,20.8
Chevrolet,Bolt EUV,2015,Sedan,113.5,76.7,538,114.3,1.23,1184,14.13,213883,46.8,14.8
Kia,Niro EV,2024,SUV,103.4,95.8,588,230.6,0.59,1620,14.87,20997,88.9,-1
Mercedes,EQC,2020,Sedan,118.6,98.1,484,50.4,3.21,662,13.19,184761,44.9,7.1
BMW,i4,2015,Sedan,75.8,78.9,388,175.6,0.47,1590,23.4,106604,41.2,30.6
Kia,Niro EV,2022,Sedan,47.5,96.4,252,85.3,0.63,501,20.01,161570,78.2,17.7
Kia,Niro EV,2020,Hatchback,104.9,70.3,576,192.3,0.63,1978,22.95,190413,91.4,9.3
Mercedes,EQC,2020,Truck,83.4,81.7,402,177.3,0.67,237,14.17,197699,85.6,33.7
Tesla,Model S,2019,Sedan,82.2,86.8,420,155.2,0.61,793,19.83,196675,87.8,-2.6
Mercedes,EQC,2024,Hatchback,93.7,93.7,471,116.2,1.09,382,21.56,81256,36.2,30.1
Chevrolet,Bolt EUV,2020,Hatchback,87.8,82.6,462,198.8,0.61,1933,24.88,121859,56.9,0.1
Nissan,Ariya,2017,Hatchback,32.4,70.7,183,76.3,0.51,762,24.23,88369,89.7,32.1
Nissan,Leaf,2019,Hatchback,93.5,88.9,383,227,0.44,991,21.48,47821,34,-3.2
Kia,Niro EV,2018,Hatchback,31.2,78.5,127,19.7,2.06,1443,22.23,186129,49,32.2
Kia,Niro EV,2018,Hatchback,33,71.9,191,44.3,0.89,1742,13.12,129302,31.5,-3.6
Audi,Q4 e-tron,2024,Sedan,67.7,77.8,369,245.5,0.36,1354,21.43,127788,69.6,37.4
Ford,F-150 Lightning,2019,Sedan,50.3,77.5,286,145.1,0.42,1796,14.96,207779,80.6,17.4
Audi,e-tron,2016,Hatchback,73.6,75,433,214.1,0.4,297,23.21,83258,75.6,29.3
Nissan,Leaf,2017,SUV,34.7,93.6,152,72.8,0.64,582,21.86,83707,66.4,23
Tesla,Model Y,2023,SUV,80.4,92.5,411,143.1,0.78,1267,19,46971,85.9,31.1
Nissan,Leaf,2017,Truck,47.6,75.6,199,96.2,0.56,684,20.25,11710,75,16.7
Kia,Niro EV,2016,Hatchback,58.5,95.7,340,77.2,0.8,1128,19.78,94087,55.5,-2.4
Audi,e-tron,2020,SUV,107.1,73.5,586,87.4,1.29,1332,24.79,57756,80.8,34.1
BMW,i3,2019,Hatchback,80.4,85.8,437,223.8,0.5,844,24.65,213347,90.1,-4.5
Kia,EV6,2016,Truck,103.9,83.8,489,129.1,0.89,675,18.83,74615,79.8,26
Chevrolet,Bolt EV,2017,Hatchback,70.5,92.5,373,159.4,0.56,1036,22.48,212709,98.5,27
Audi,Q4 e-tron,2021,Truck,45,89.7,269,28.4,2.2,1802,21.02,92960,45.1,-8.3
Hyundai,Ioniq 5,2018,Hatchback,108.4,93,604,169.9,0.83,1960,23.36,27746,69.2,9
Chevrolet,Bolt EUV,2017,SUV,67.1,94.1,332,15.3,5.45,469,23.93,39518,38.9,31.3
BMW,iX,2021,Sedan,85.9,86.8,451,138.3,0.72,1211,13.46,55085,38.4,2.1
Audi,Q4 e-tron,2023,SUV,104.2,72.2,463,185.5,0.66,267,23.4,19849,76.7,39.5
BMW,i3,2015,Truck,55.7,82.9,252,199.6,0.33,860,12.83,63643,45.4,-5.3
Volkswagen,ID.3,2015,Hatchback,35.8,98.7,145,177,0.28,637,17.65,69046,39.6,12.2
Chevrolet,Bolt EV,2018,SUV,101,89.2,540,42.5,3.13,275,18.34,16093,48.4,27.2
Kia,EV6,2020,Hatchback,110.2,70.1,449,155.4,0.77,1690,15.6,160072,61.5,-0.2
Nissan,Ariya,2022,Truck,83.2,86.1,474,22.8,4.02,603,13.4,239073,62.4,15.6
Ford,Mustang Mach-E,2023,Truck,103.5,78.5,583,138.1,0.81,382,23.36,75028,77.3,-3.4
BMW,i3,2017,SUV,67,97.2,363,156.3,0.55,1524,21.34,235363,87.5,-9.9
Nissan,Ariya,2015,Hatchback,84.3,90.6,356,102.7,1.01,793,13.2,39542,59.3,10.2
Hyundai,Ioniq 5,2016,Hatchback,90.2,90.4,426,152.9,0.84,409,13.81,69200,72.9,21.9
Tesla,Model Y,2017,SUV,78.1,74.3,314,111.9,0.9,1534,19.5,167777,93.7,7.2
Ford,F-150 Lightning,2019,Truck,92.3,82.9,493,76.8,1.55,1857,19.67,98547,85.9,19
Hyundai,Ioniq 5,2024,Sedan,63.3,70.8,302,136.7,0.56,1891,17.6,73803,33.1,-2.3
Mercedes,EQS,2017,Truck,60.7,72.2,292,85.4,0.82,524,18.9,213559,45.3,-4.7
Volkswagen,ID.4,2022,Sedan,118,86,504,34.7,4.52,562,17.04,227441,57.7,12.9
Kia,EV6,2019,SUV,116,79.4,670,155.1,0.82,568,13.15,25538,97.3,38.5
Mercedes,EQS,2023,Sedan,79.8,86.3,440,210.2,0.47,1777,22.75,131060,43.6,23.9
Tesla,Model X,2018,Sedan,61.3,87.4,262,117.1,0.61,338,14.7,175492,99.6,18.5
BMW,i3,2019,Truck,43.3,95.6,234,227.8,0.26,1314,23.82,160914,54.7,-3.5
BMW,i3,2015,Truck,91.3,84,371,242.7,0.4,865,24.75,43635,82.8,8.8
Kia,EV6,2022,Hatchback,69.7,88.2,406,97.6,0.81,1173,17.93,157155,87.9,37.8
Nissan,Ariya,2018,SUV,30.3,89.2,139,68.5,0.57,1546,17.83,247700,98,-9
Volkswagen,ID.4,2017,Hatchback,92.3,74,424,96.7,1.06,1887,21.53,63653,97,0
Audi,e-tron,2021,Truck,34,80.3,179,27.5,1.76,847,22,143367,86.6,20.7
Kia,Niro EV,2018,Sedan,66.6,72,312,37.5,1.97,1908,21.07,203700,96.9,-6.2
Chevrolet,Bolt EV,2020,SUV,34.5,72.2,165,81.6,0.56,494,17.22,153694,95,6.1
Chevrolet,Bolt EUV,2023,Sedan,49.7,71,220,110.5,0.51,230,23.55,143262,90.7,21.2
Tesla,Model X,2016,Sedan,94.3,94.7,528,143,0.79,1428,23.92,61071,49,34.1
Audi,e-tron,2023,Hatchback,97.4,79.5,389,133.2,1.03,1319,19.72,158808,34.4,7
Audi,Q4 e-tron,2023,Hatchback,62.4,78.1,354,85.9,0.81,1110,24.26,96218,93.7,23.8
Chevrolet,Bolt EUV,2015,Sedan,113.7,95.3,608,44.2,3.37,434,20.66,194344,49.5,25.1
Hyundai,Ioniq 5,2017,SUV,87.1,100,366,130.2,0.84,1223,17.63,72055,44.6,-9.9
Ford,F-150 Lightning,2018,Hatchback,106.5,76.4,566,123.9,0.93,1323,20.81,112692,32.5,22.6
Nissan,Ariya,2019,SUV,91.4,84,471,31.4,4.1,1748,12.76,9213,84.7,31.8
Mercedes,EQC,2022,Truck,105.4,91.3,621,18.5,6.44,813,18.9,172093,48.7,38.2
Mercedes,EQC,2018,SUV,70.9,78,314,42.4,1.83,1725,12.22,76354,56.8,3.3
Hyundai,Ioniq 5,2021,Sedan,76.6,80.4,363,11.3,8.75,683,19.13,192619,89.3,31.5
BMW,iX,2020,SUV,43.7,97,236,235,0.22,1428,21.72,240990,77,37.1
Tesla,Model 3,2016,Truck,88,86.8,488,60,1.66,1422,13.83,168865,89.3,39.1
Ford,Mustang Mach-E,2015,Truck,61.1,97.5,279,123.3,0.54,688,20.97,147105,40.3,1.5
Volkswagen,ID.3,2020,Hatchback,77.7,77.3,388,173.4,0.62,1517,24.07,224581,62.2,12.9
Audi,e-tron,2022,SUV,48.8,71.5,277,245.5,0.22,1746,17.09,246131,97.2,14.9
Audi,Q4 e-tron,2023,Sedan,49.7,83.8,290,53.1,1.24,353,12.18,202227,85.5,24.9
Volkswagen,ID.4,2021,Hatchback,65.4,95.6,362,85.1,1.01,1650,20.67,181314,97.2,14.9
Nissan,Leaf,2019,SUV,63.9,86.6,358,22,3.22,1071,23.02,179535,86.6,-8.5
Kia,Niro EV,2024,Truck,111.1,74.6,664,239.2,0.56,800,21.89,90744,74.5,35.9
Mercedes,EQS,2015,Sedan,100.9,77.5,517,96.7,1.21,313,23.73,160801,94.3,32
Audi,e-tron,2015,Hatchback,45.8,96,209,238.2,0.23,850,19.32,54812,66.2,-2.8
Ford,F-150 Lightning,2024,Hatchback,110.3,82.6,613,124.8,1.07,827,14.66,175536,50.7,0.4
Ford,F-150 Lightning,2017,Truck,75.6,82.3,425,210.8,0.46,1193,22.06,15775,75.8,13.2
Chevrolet,Bolt EV,2019,Sedan,65.3,86.4,330,152.1,0.6,1549,12.71,244241,44,5.2
Nissan,Ariya,2018,Sedan,117,76.7,623,188.3,0.68,1566,19.93,197029,52.8,3.6
Audi,Q4 e-tron,2020,Hatchback,66.5,76.6,367,140.7,0.64,471,13.02,15014,82.8,29
Volkswagen,ID.3,2024,Truck,73.4,80.9,432,162.1,0.62,1068,13.33,239686,65.6,12.4
Mercedes,EQC,2021,Hatchback,71.6,97.6,385,185.2,0.42,1816,12.4,71216,43.7,23.3
Ford,F-150 Lightning,2015,Truck,95.4,86.9,562,129.6,0.93,1323,22.22,38919,93.5,31.9
Volkswagen,ID.3,2016,Sedan,69.4,77,375,206.3,0.4,1391,12.67,154696,51.6,-1
Kia,Niro EV,2024,Sedan,102.8,90.3,539,86.7,1.31,512,22.36,179598,51.9,31.6
Mercedes,EQS,2022,SUV,34.7,86.5,158,84.3,0.52,1624,24.15,146880,91.5,29.2
Tesla,Model S,2017,Hatchback,91,72.2,401,102.2,0.94,1307,20.73,86486,38.1,27.5
Ford,Mustang Mach-E,2016,Truck,114.7,97.4,461,118.6,1.02,521,24.62,100556,98.5,25.2
Mercedes,EQC,2021,SUV,53.8,76.2,267,75.2,0.93,785,20.97,95265,72.3,36.3
Tesla,Model S,2017,Hatchback,86.1,89.5,390,14.6,6.27,1942,19.33,17360,79.5,16.3
Chevrolet,Bolt EUV,2018,Truck,115.2,73.2,496,236.8,0.55,759,12.09,104575,71.1,-7.5
Nissan,Ariya,2021,Sedan,52.8,83.5,312,106.4,0.55,817,21.61,35981,98.4,27.1
Mercedes,EQS,2019,Sedan,112.3,83,507,114.8,1.11,1114,19.66,49816,68.3,25.7
Mercedes,EQC,2021,SUV,34.5,97.3,140,96.1,0.51,498,15.22,117935,54.8,20.3
BMW,i4,2021,Truck,105.5,94.2,595,233.9,0.54,1909,17.17,5869,82,4.6
Chevrolet,Bolt EUV,2020,SUV,102,80,584,229.7,0.49,767,22.24,106121,74.1,31.7
Hyundai,Ioniq 5,2019,Hatchback,100.6,82.6,503,198.6,0.6,1428,15.91,33927,58.5,36.4
Volkswagen,ID.3,2020,Sedan,89,77.8,384,49.4,2.51,913,24.25,54393,91.7,12.3
Volkswagen,ID.4,2022,Truck,79.8,77.6,437,29.3,2.97,1972,16,138663,86.7,7.7
Tesla,Model X,2015,Hatchback,58.7,97.1,243,209.1,0.36,624,23.16,168926,88.7,10.7
Nissan,Ariya,2019,SUV,67,91.7,319,128,0.65,1470,12.03,222537,67.2,-1.9
Volkswagen,ID.3,2024,Truck,109.3,73.6,575,150.1,1,1457,19.9,228437,41.7,1.7
Hyundai,Ioniq 5,2023,Sedan,67.4,82.9,342,177.4,0.43,648,14.65,166121,58.8,-8.9
Nissan,Leaf,2019,Truck,40.5,80.1,173,176.4,0.31,1548,21.94,20810,44.3,28.8
BMW,i3,2017,SUV,80.5,88.9,432,71.5,1.6,867,21.06,64191,88.5,14.3
BMW,iX,2017,Sedan,103.9,82.1,516,14.2,9.12,256,22.45,179514,49.7,33.9
Chevrolet,Bolt EUV,2018,Truck,106.3,86.4,633,118.7,1.08,534,15.01,181348,69.1,-6.5
BMW,i4,2021,Hatchback,63.3,83.9,344,168,0.43,1637,14.83,14277,89,30.2
Kia,Niro EV,2023,Truck,82.3,82.8,419,135.5,0.77,1703,18.73,25176,31,27.1
Kia,Niro EV,2020,Sedan,97.5,97.2,537,153.7,0.73,1003,23.08,92796,74.3,10.7
Kia,EV6,2022,Hatchback,58.2,77.2,257,112.5,0.56,499,21.69,26839,35.4,12.2
Audi,e-tron,2015,SUV,54.5,90.8,246,235.4,0.27,1352,18.87,224103,43.4,19.8
Chevrolet,Bolt EV,2018,Hatchback,71.5,99.5,398,195.9,0.41,360,17.62,95880,62.5,34
Nissan,Leaf,2022,SUV,107.2,93.5,520,59.1,2.19,1990,23.71,17391,76.7,2.5
Chevrolet,Bolt EV,2018,Truck,111.3,98,623,172.1,0.92,1058,15.14,33302,51.3,-8.9
Volkswagen,ID.4,2019,Truck,50.9,70.4,281,160.1,0.36,1918,22.88,88178,30.4,33.2
Nissan,Ariya,2017,Truck,69.8,91.2,333,65.7,1.25,850,24.08,208446,73.3,39.8
Mercedes,EQC,2015,Sedan,71.5,98.2,358,237.9,0.33,1378,20.81,68185,37.7,15
BMW,i4,2023,Hatchback,36.3,86.6,199,204.7,0.22,815,21.17,146013,70.6,-1.5
